DEU,Germany,2592600
FRA,France,1996583
GBR,UnitedKingdom,1750396
ITA,Italy,1579659
ESP,Spain,1063355
NLD,Netherlands,601973
SWE,Sweden,387596
BEL,Belgium,369836
POL,Poland,369666
AUT,Austria,300712
DNK,Denmark,240453
GRC,Greece,208532
FIN,Finland,189368
PRT,Portugal,171040
IRL,Ireland,156438
CZE,CzechRepublic,156217
ROU,Romania,131327
HUN,Hungary,99819
SVK,Slovakia,69108
LUX,Luxembourg,42625
BGR,Bulgaria,38483
SVN,Slovenia,36172
LTU,Lithuania,30807
LVA,Latvia,20211
CYP,Cyprus,17979
EST,Estonia,15951
MLT,Malta,6544